key,en,es,da,nl,fr,de,zh,sv,ru,ja,ko
DARKEN_SCREEN,Darken Screen,Oscurecer pantalla,Mørk skærmen,Scherm donkerder maken,Assombrir l'écran,Bildschirm abdunkeln,使屏幕变暗,Gör skärmen mörkare,Затемнение экрана,画面を暗くする,화면을 어둡게 하기
RENDER_INSTANT,Render Type: Instant,Tipo de renderizado: instantáneo,Gengivelsestype: Øjeblikkelig,Rendertype: Direct,Type de rendu : instantané,Rendertyp: Sofort,渲染类型：即时,Rendertyp: Omedelbar,Тип рендеринга: Мгновенный,レンダリング タイプ: インスタント,렌더 유형: 즉시
RENDER_GRADUAL,Render Type: Gradual,Tipo de renderizado: Gradual,Gengivelsestype: Gradvis,Rendertype: Geleidelijk,Type de rendu : progressif,Rendertyp: Allmählich,渲染类型：渐进,Rendertyp: Gradvis,Тип рендеринга: Постепенный,レンダリング タイプ: 段階的,렌더링 유형: 점진적
TEXT_SOUND,Text Sound,Sonido de texto,Tekst Lyd,Tekst geluid,Son du texte,Textton,文字声音,Text ljud,Текст Звук,テキストサウンド,텍스트 사운드
TEXT_PITCH,Text Pitch,Paso del texto,Teksthøjde,Tekstafstand,Emplacement du texte,Texthöhe,文字间距,Text Pitch,Шаг текста,文字のピッチ,텍스트 피치
SHOW_PREVIOUS_DIALOG,Show Previous Dialog Blocks,Mostrar bloques de diálogo anteriores,Vis tidligere dialogblokke,Toon vorige dialoogblokken,Afficher les blocs de dialogue précédents,Vorherige Dialogblöcke anzeigen,显示上一个对话框块,Visa tidigare dialogblock,Показать предыдущие диалоговые блоки,前のダイアログ ブロックを表示,이전 대화 블록 표시
SHOW_RESPONSE_OPTIONS,Show Response Options,Mostrar opciones de respuesta,Vis svarmuligheder,Antwoordopties tonen,Afficher les options de réponse,Antwortoptionen anzeigen,显示回复选项,Visa svarsalternativ,Показать варианты ответа,応答オプションを表示,응답 옵션 표시
DIALOG_COLOR,Dialog Color,Color del diálogo,Dialog farve,Dialoogvenster Kleur,Couleur de la boîte de dialogue,Dialogfarbe,对话框颜色,Dialogfärg,Цвет диалога,ダイアログの色,대화상자 색상
TITLE_COLOR,Title Color,Color del título,Titel farve,Titel Kleur,Couleur du titre,Titelfarbe,标题颜色,Titel färg,Цвет названия,タイトルの色,제목 색상
TITLE_POSITION,Title Position,Posición del título,Titelposition,Titel Positie,Poste du titre,Titelposition,职衔 职位,Titelposition,Должность,タイトルの位置,타이틀 포지션
TITLE_POSITION_TEXT,Text,Texto,Tekst,Tekst,Texte,Text,文本,Text,Текст,文章,텍스트
TITLE_POSITION_OPTION,Option,Opción,Valgmulighed,Optie,Option,Option,选项,Alternativ,Вариант,オプション,옵션
TITLE_POSITION_FIXED,Fixed,Fijado,Fast,Vast,Fixé,Behoben,固定的,Fast,Зафиксированный,修理済み,결정된
ALIGNMENT,Alignment,Alineación,Justering,Uitlijning,Alignement,Ausrichtung,结盟,Inriktning,Выравнивание,位置合わせ,조정
ALIGNMENT_BOTTOM,Bottom,Abajo,Bund,Onderkant,Bas,Unten,底部,Botten,Нижний,底,맨 아래
ALIGNMENT_TOP,Top,Arriba,Top,Bovenkant,Haut,Spitze,顶部,Bästa,Вершина,トップ,맨 위
WIDTH_AND_HEIGHT,Width & Height,Ancho y Alto,Bredde & Højde,Breedte en hoogte,Largeur et hauteur,Breite und Höhe,宽度和高度,Bredd & Höjd,Ширина и высота,幅と高さ,너비 및 높이
TEXT_OFFSET,Text Offset,Desplazamiento de texto,Tekstforskydning,Tekstverschuiving,Décalage du texte,Textversatz,文本偏移,Textförskjutning,Смещение текста,テキストのオフセット,텍스트 오프셋
TITLE_OFFSET,Title Offset,Desplazamiento de título,Titel offset,Titelverschuiving,Décalage du titre,Titelversatz,标题偏移量,Titelförskjutning,Смещение заголовка,タイトルのオフセット,제목 오프셋
OPTION_OFFSET,Option Offset,Compensación de opción,Option Offset,Optie Offset,Décalage des options,Option Offset,选项偏移量,Alternativ Offset,Смещение опции,オプションオフセット,옵션 오프셋
OPTION_SPACING,Option Spacing,Espaciado de opciones,Mulighedsafstand,Optie Afstand,Espacement des options,Optionsabstand,选项间距,Alternativavstånd,Расстояние между опциями,オプションの間隔,옵션 간격
NPC_OFFSET,NPC Offset,Compensación de PNJ,NPC offset,NPC-compensatie,Décalage PNJ,NPC-Versatz,NPC 偏移量,NPC Offset,Смещение NPC,NPC オフセット,NPC 오프셋
NPC_SCALE,NPC Scale,Escala de PNJ,NPC-skala,NPC-schaal,Échelle des PNJ,NPC-Skala,NPC规模,NPC-skala,Масштаб NPC,NPCスケール,NPC 규모
SPACING,Spacing,Espaciado,Mellemrum,Afstand,Espacement,Abstand,间距,Mellanrum,Расстояние,間隔,간격
IMAGES,Images,Imágenes,Billeder,Afbeeldingen,Images,Bilder,图片,Bilder,Изображения,画像,이미지
TEXTURE,Texture,Textura,Struktur,Textuur,Texture,Textur,质地,Konsistens,Текстура,テクスチャ,조직
POSITION,Position,Posición,Position,Positie,Position,Position,位置,Placera,Позиция,位置,위치
OFFSET,Offset,Compensar,Offset,Offset,Compenser,Versatz,抵消,Offset,Компенсировать,オフセット,오프셋
SCALE,Scale,Escala,Skala,Schaal,Échelle,Skala,规模,Skala,Шкала,規模,규모
ALPHA,Alpha,Alfa,Alfa,Alfa,Alpha,Alpha,阿尔法,Alfa,Альфа,アルファ,알파
ROTATION,Rotation,Rotación,Rotation,Rotatie,Rotation,Drehung,旋转,Rotation,Вращение,回転,회전
COLOR,Color,Color,Farve,Kleur,Couleur,Farbe,颜色,Färg,Цвет,色,색상
SELECTED_COLOR,Selected Color,Color seleccionado,Valgt farve,Geselecteerde kleur,Couleur sélectionnée,Ausgewählte Farbe,选定的颜色,Vald färg,Выбранный цвет,選択した色,선택한 색상
TYPE,Type,Tipo,Type,Type,Taper,Typ,类型,Typ,Тип,タイプ,유형
SCREEN,Screen,Pantalla,Skærm,Scherm,Écran,Bildschirm,屏幕,Skärm,Экран,画面,화면
OPTION,Option,Opción,Valgmulighed,Optie,Option,Option,选项,Alternativ,Вариант,オプション,옵션
TEXT,Text,Texto,Tekst,Tekst,Texte,Text,文本,Text,Текст,文章,텍스트
GOOGLE_TRANSLATE,"Languages other than English are translated through Google Translate. 
If you notice an error and/or would like to contribute to translations, please let me know!","Los idiomas distintos del inglés se traducen a través de Google Translate. 
Si nota un error y/o le gustaría contribuir con las traducciones, ¡hágamelo saber!","Andre sprog end engelsk oversættes via Google Translate. 
Hvis du bemærker en fejl og/eller gerne vil bidrage til oversættelser, så lad mig det vide!","Andere talen dan Engels worden vertaald via Google Translate. 
Als u een fout opmerkt en/of een bijdrage wilt leveren aan vertalingen, laat het mij dan weten!","Les langues autres que l'anglais sont traduites via Google Translate. 
Si vous remarquez une erreur et/ou souhaitez contribuer aux traductions, n'hésitez pas à me le faire savoir !","Andere Sprachen als Englisch werden über Google Translate übersetzt. 
Wenn Ihnen ein Fehler auffällt und/oder Sie zu Übersetzungen beitragen möchten, lassen Sie es mich bitte wissen!","英语以外的语言均通过谷歌翻译进行翻译。 
如果您发现错误和/或想为翻译做出贡献，请告诉我！","Andra språk än engelska översätts via Google Translate. 
Om du upptäcker ett fel och/eller vill bidra till översättningar, vänligen meddela mig!","Другие языки, кроме английского, переводятся через Google Translate. 
Если вы заметили ошибку и/или хотите внести свой вклад в перевод, дайте мне знать!","英語以外の言語は Google 翻訳によって翻訳されます。 
間違いに気づいた場合、および/または翻訳に貢献したい場合は、お知らせください。","영어 이외의 언어는 Google 번역을 통해 번역됩니다. 
오류를 발견했거나 번역에 기여하고 싶다면 알려주시기 바랍니다!"
ADD_DIALOG_TOOLTIP,Adds a new dialog node into the category,Agrega un nuevo nodo de diálogo a la categoría.,Tilføjer en ny dialogknude til kategorien,Voegt een nieuw dialoogknooppunt toe aan de categorie,Ajoute un nouveau nœud de dialogue dans la catégorie,Fügt der Kategorie einen neuen Dialogknoten hinzu,将新的对话节点添加到类别中,Lägger till en ny dialognod i kategorin,Добавляет новый диалоговый узел в категорию,カテゴリに新しいダイアログ ノードを追加します,카테고리에 새 대화 노드를 추가합니다.
ADD_COLOR_ORGANIZER_TOOL_TIP,Adds a new color organizer into the category,Agrega un nuevo organizador de colores a la categoría.,Tilføjer en ny farvearrangør i kategorien,Voegt een nieuwe kleurorganizer toe aan de categorie,Ajoute un nouvel organisateur de couleurs dans la catégorie,Fügt der Kategorie einen neuen Farborganisator hinzu,在类别中添加新的颜色管理器,Lägger till en ny färgarrangör i kategorin,Добавляет в категорию новый цветной органайзер.,カテゴリに新しいカラー オーガナイザーを追加します,카테고리에 새로운 색상 정리 도구를 추가합니다.
OK,OK,DE ACUERDO,OK,OK,D'ACCORD,OK,好的,OK,ХОРОШО,わかりました,좋아요
CONFIRM,Confirm,Confirmar,Bekræfte,Bevestigen,Confirmer,Bestätigen,确认,Bekräfta,Подтверждать,確認する,확인하다
NEW_CATEGORY,New Category,Nueva categoría,Ny kategori,Nieuwe categorie,Nouvelle catégorie,Neue Kategorie,新类别,Ny kategori,Новая категория,新しいカテゴリ,새 카테고리
ADD_NEW_PRESET,Add Preset,Agregar preajuste,Tilføj forudindstilling,Voorinstelling toevoegen,Ajouter un préréglage,Voreinstellung hinzufügen,添加预设,Lägg till förinställning,Добавить пресет,プリセットの追加,프리셋 추가
REMOVE_PRESET,Remove Preset,Eliminar preajuste,Fjern forudindstilling,Voorinstelling verwijderen,Supprimer le préréglage,Voreinstellung entfernen,删除预设,Ta bort förinställning,Удалить предустановку,プリセットの削除,사전 설정 제거
UPDATE_PRESET,Update Preset,Actualizar preajuste,Opdater forudindstilling,Voorinstelling bijwerken,Mettre à jour le préréglage,Voreinstellung aktualisieren,更新预设,Uppdatera förinställning,Обновить предустановку,プリセットの更新,사전 설정 업데이트
LINK_PRESET,Link,Enlace,Forbindelse,Link,Lien,Link,关联,Länk,Связь,リンク,링크
NEW_PRESET_TEXT,New Preset,Nuevo preestablecido,Ny forudindstilling,Nieuwe voorinstelling,Nouveau préréglage,Neue Voreinstellung,新预设,Ny förinställning,Новый пресет,新しいプリセット,새로운 사전 설정
PRESET_CONFIRM_DELETION,Are you sure you want to delete %s? All dialogs with this preset will revert to the Default preset,¿Estás seguro de que deseas eliminar %s? Todos los cuadros de diálogo con este ajuste preestablecido volverán al ajuste preestablecido predeterminado.,"Er du sikker på, at du vil slette %s? Alle dialoger med denne forudindstilling vil vende tilbage til standardforudindstillingen",Weet u zeker dat u %s wilt verwijderen? Alle dialoogvensters met deze voorinstelling keren terug naar de standaardvoorinstelling,Etes-vous sûr de vouloir supprimer %s ? Toutes les boîtes de dialogue avec ce préréglage reviendront au préréglage par défaut,"Sind Sie sicher, dass Sie %s löschen möchten? Alle Dialoge mit dieser Voreinstellung werden auf die Standardvoreinstellung zurückgesetzt",您确定要删除 %s 吗？所有具有此预设的对话框都将恢复为默认预设,Är du säker på att du vill ta bort %s? Alla dialogrutor med denna förinställning kommer att återgå till standardförinställningen,"Вы уверены, что хотите удалить %s? Все диалоги с этим пресетом вернутся к пресету по умолчанию.",%s を削除してもよろしいですか?このプリセットを含むすべてのダイアログはデフォルトのプリセットに戻ります,정말로 %s을(를) 삭제하시겠습니까? 이 사전 설정이 포함된 모든 대화 상자는 기본 사전 설정으로 되돌아갑니다.
UPDATE_PRESET_TOOLTIP,Updates the currently selected preset with the current settings and name,Actualiza el ajuste preestablecido actualmente seleccionado con la configuración y el nombre actuales,Opdaterer den aktuelt valgte forudindstilling med de aktuelle indstillinger og navn,Werkt de momenteel geselecteerde voorinstelling bij met de huidige instellingen en naam,Met à jour le préréglage actuellement sélectionné avec les paramètres et le nom actuels,Aktualisiert die aktuell ausgewählte Voreinstellung mit den aktuellen Einstellungen und dem aktuellen Namen,使用当前设置和名称更新当前选定的预设,Uppdaterar den aktuella förinställningen med aktuella inställningar och namn,Обновляет текущий выбранный пресет с текущими настройками и именем.,現在選択されているプリセットを現在の設定と名前で更新します。,현재 선택한 사전 설정을 현재 설정 및 이름으로 업데이트합니다.
ADD_NEW_PRESET_TOOLTIP,Creates a new preset with the current settings and name,Crea un nuevo ajuste preestablecido con la configuración y el nombre actuales.,Opretter en ny forudindstilling med de aktuelle indstillinger og navn,Creëert een nieuwe preset met de huidige instellingen en naam,Crée un nouveau préréglage avec les paramètres et le nom actuels,Erstellt eine neue Voreinstellung mit den aktuellen Einstellungen und dem aktuellen Namen,使用当前设置和名称创建新预设,Skapar en ny förinställning med nuvarande inställningar och namn,Создает новый пресет с текущими настройками и именем.,現在の設定と名前で新しいプリセットを作成します,현재 설정과 이름으로 새 사전 설정을 만듭니다.
REMOVE_PRESET_TOOLTIP,Deletes the currently selected preset,Elimina el preset seleccionado actualmente,Sletter den aktuelt valgte forudindstilling,Verwijdert de momenteel geselecteerde voorinstelling,Supprime le préréglage actuellement sélectionné,Löscht die aktuell ausgewählte Voreinstellung,删除当前选定的预设,Tar bort den aktuella förinställningen,Удаляет текущий выбранный пресет,現在選択されているプリセットを削除します,현재 선택된 사전 설정을 삭제합니다.
PRESET_TEXT_TOOLTIP,Name used for adding/updating a preset,Nombre utilizado para agregar/actualizar un ajuste preestablecido,"Navn, der bruges til at tilføje/opdatere en forudindstilling",Naam die wordt gebruikt voor het toevoegen/bijwerken van een voorinstelling,Nom utilisé pour ajouter/mettre à jour un préréglage,"Name, der zum Hinzufügen/Aktualisieren einer Voreinstellung verwendet wird",用于添加/更新预设的名称,Namn som används för att lägga till/uppdatera en förinställning,"Имя, используемое для добавления/обновления предустановки",プリセットの追加/更新に使用される名前,사전 설정 추가/업데이트에 사용되는 이름
VISUAL_OPTIONS,Visual Options,Opciones visuales,Visuelle muligheder,Visuele opties,Options visuelles,Visuelle Optionen,视觉选项,Visuella alternativ,Визуальные параметры,ビジュアルオプション,시각적 옵션
PRESETS,Presets,Preajustes,Forudindstillinger,Voorinstellingen,Préréglages,Voreinstellungen,预设,Förinställningar,Пресеты,プリセット,사전 설정
DEFAULT_VISUAL_PRESET,Default Visual Preset,Preajuste visual predeterminado,Standard visuel forudindstilling,Standaard visuele voorinstelling,Préréglage visuel par défaut,Standardmäßige visuelle Voreinstellung,默认视觉预设,Visuell förinställning som standard,Визуальная предустановка по умолчанию,デフォルトのビジュアルプリセット,기본 시각적 사전 설정
DEFAULT_SPACING_PRESET,Default Spacing Preset,Preestablecido de espaciado predeterminado,Forudindstillet standardafstand,Standaard afstandsvoorinstelling,Préréglage d'espacement par défaut,Standard-Abstandsvoreinstellung,默认间距预设,Förinställt standardavstånd,Предустановка интервала по умолчанию,デフォルトの間隔プリセット,기본 간격 사전 설정
DEFAULT_VISUAL_PRESET_TOOLTIP,Use this preset as the default visual options for every newly created dialog,Utilice este ajuste preestablecido como opciones visuales predeterminadas para cada cuadro de diálogo recién creado,Brug denne forudindstilling som de visuelle standardindstillinger for hver nyoprettet dialog,Gebruik deze voorinstelling als de standaard visuele opties voor elk nieuw gemaakt dialoogvenster,Utilisez ce préréglage comme options visuelles par défaut pour chaque boîte de dialogue nouvellement créée,Verwenden Sie diese Voreinstellung als standardmäßige visuelle Optionen für jeden neu erstellten Dialog,使用此预设作为每个新创建的对话框的默认视觉选项,Använd denna förinställning som visuella standardalternativ för varje nyskapad dialogruta,Используйте этот набор настроек в качестве визуальных параметров по умолчанию для каждого вновь создаваемого диалога.,このプリセットを、新しく作成されたすべてのダイアログのデフォルトのビジュアル オプションとして使用します。,이 사전 설정을 새로 생성된 모든 대화 상자에 대한 기본 시각적 옵션으로 사용
DEFAULT_SPACING_PRESET_TOOLTIP,Use this preset as the default spacing settings for every newly created dialog,Utilice este ajuste preestablecido como configuración de espaciado predeterminada para cada cuadro de diálogo recién creado,Brug denne forudindstilling som standardafstandsindstillinger for hver nyoprettet dialog,Gebruik deze voorinstelling als de standaardafstandsinstellingen voor elk nieuw gemaakt dialoogvenster,Utilisez ce préréglage comme paramètres d'espacement par défaut pour chaque boîte de dialogue nouvellement créée,Verwenden Sie diese Voreinstellung als Standardabstandseinstellung für jeden neu erstellten Dialog,使用此预设作为每个新创建的对话框的默认间距设置,Använd denna förinställning som standardavståndsinställningar för varje nyskapad dialogruta,Используйте этот пресет в качестве настроек интервала по умолчанию для каждого вновь создаваемого диалога.,このプリセットを、新しく作成されたすべてのダイアログのデフォルトの間隔設定として使用します。,이 사전 설정을 새로 생성된 모든 대화 상자의 기본 간격 설정으로 사용
LINK_PRESET_TOOLTIP,"Forces this dialog to always use the presets settings, including when the preset is updated","Obliga a este cuadro de diálogo a utilizar siempre la configuración de ajustes preestablecidos, incluso cuando se actualiza el ajuste preestablecido.","Tvinger denne dialog til altid at bruge forudindstillingerne, også når forudindstillingen opdateres","Dwingt dit dialoogvenster af om altijd de instellingen van de voorinstellingen te gebruiken, ook wanneer de voorinstelling wordt bijgewerkt","Force cette boîte de dialogue à toujours utiliser les paramètres des préréglages, y compris lorsque le préréglage est mis à jour","Erzwingt, dass dieses Dialogfeld immer die Voreinstellungen verwendet, auch wenn die Voreinstellung aktualisiert wird",强制此对话框始终使用预设设置，包括更新预设时,"Tvingar den här dialogrutan att alltid använda förinställningarna, inklusive när förinställningen uppdateras","Заставляет это диалоговое окно всегда использовать настройки пресетов, в том числе при обновлении пресетов.",プリセットが更新されたときも含め、このダイアログで常にプリセット設定を使用するように強制します。,사전 설정이 업데이트되는 경우를 포함하여 이 대화 상자가 항상 사전 설정 설정을 사용하도록 합니다.
AV_IS,Is,Es,Er,Is,Est,Ist,是,är,Является,は,~이다
AV_IS_NOT,Is Not,no es,er ikke,Is niet,N'est-ce pas,Ist nicht,不是,Är inte,Нет,そうではない,그렇지 않다
ORPHANED_RESPONSE_OPTION,Orphaned Response Option,Opción de respuesta huérfana,Mulighed for forældreløse svar,Weesreactieoptie,Option de réponse orpheline,Verwaiste Antwortoption,孤立响应选项,Alternativ för föräldralöst svar,Потерянный вариант ответа,孤立した応答オプション,고아 응답 옵션
ORPHANED_RESPONSE_OPTION_WARNING,"This response option is not attached to a parent dialog, and will not appear in game.",Esta opción de respuesta no está adjunta al cuadro de diálogo principal y no aparecerá en el juego.,Denne svarmulighed er ikke knyttet til en forældredialog og vises ikke i spillet.,Deze antwoordoptie is niet gekoppeld aan een ouderdialoogvenster en verschijnt niet in het spel.,Cette option de réponse n'est pas attachée à une boîte de dialogue parent et n'apparaîtra pas dans le jeu.,Diese Antwortoption ist nicht an einen übergeordneten Dialog angehängt und wird nicht im Spiel angezeigt.,此响应选项不附加到父对话框，并且不会出现在游戏中。,Det här svarsalternativet är inte kopplat till en föräldradialog och kommer inte att visas i spelet.,Этот вариант ответа не привязан к родительскому диалогу и не появится в игре.,この応答オプションは親ダイアログに関連付けられていないため、ゲームには表示されません。,이 응답 옵션은 상위 대화 상자에 연결되지 않으며 게임에 표시되지 않습니다.
RESCAN_QUEST_AND_FACTIONS,Rescan Quest and Factions,Volver a escanear misiones y facciones,Scan Quest og fraktioner igen,Zoektocht en facties opnieuw scannen,Réanalyser la quête et les factions,Quest und Fraktionen erneut scannen,重新扫描任务和派系,Skanna om Quest och fraktioner,Пересканировать квест и фракции,クエストと派閥の再スキャン,퀘스트 및 진영 재검색
RESCANNED_QUEST_AND_FACTIONS,Rescanned Quest and Factions...,Misión y facciones reescaneadas...,Genscannet Quest og fraktioner...,Opnieuw gescande zoektocht en facties...,Quête et factions réanalysées...,Neu gescannte Quest und Fraktionen...,重新扫描的任务和派系...,Omskannat uppdrag och fraktioner...,Пересканированные квесты и фракции...,再スキャンされたクエストと派閥...,퀘스트와 진영을 다시 스캔했습니다...
SAVED_BACKUPS,Saved Backups...,Copias de seguridad guardadas...,Gemte sikkerhedskopier...,Opgeslagen back-ups...,Sauvegardes enregistrées...,Gespeicherte Backups...,已保存的备份...,Sparade säkerhetskopior...,Сохраненные резервные копии...,保存されたバックアップ...,저장된 백업...
DOUBLE_CLICK_AVAIL,Double Click a Dialog Node to set Availability,Haga doble clic en un nodo de diálogo para configurar la disponibilidad,Dobbeltklik på en dialogknude for at indstille tilgængelighed,Dubbelklik op een dialoogvensterknooppunt om de beschikbaarheid in te stellen,Double-cliquez sur un nœud de dialogue pour définir la disponibilité,"Doppelklicken Sie auf einen Dialogknoten, um die Verfügbarkeit festzulegen",双击对话框节点设置可用性,Dubbelklicka på en dialognod för att ställa in tillgänglighet,"Дважды щелкните узел диалогового окна, чтобы установить доступность.",ダイアログ ノードをダブルクリックして可用性を設定します,가용성을 설정하려면 대화 상자 노드를 두 번 클릭하세요.
STOP_MUSIC,Stop Music (1.18+ Only),Detener música (solo 1.18+),Stop musik (kun 1.18+),Muziek stoppen (alleen 1.18+),Arrêter la musique (1.18+ uniquement),Musik stoppen (nur 1.18+),停止音乐（仅限 1.18+）,Stop Music (endast 1.18+),Остановить музыку (только 1.18+),音楽を停止 (1.18 以降のみ),음악 중지(1.18+ 전용)
ADD,Add,Agregar,Tilføje,Toevoegen,Ajouter,Hinzufügen,添加,Tillägga,Добавлять,追加,추가하다
RESPONSE_TEXT,Response Text,Texto de respuesta,Svartekst,Reactietekst,Texte de réponse,Antworttext,响应文本,Svarstext,Текст ответа,応答テキスト,응답 텍스트
RESPONSE_TEXT_HINT,"The dialog history will display this instead of the response title, after the player chooses this one","El historial de diálogo mostrará esto en lugar del título de la respuesta, después de que el jugador elija este.","Dialoghistorikken viser dette i stedet for svartitlen, efter at spilleren har valgt denne","De dialooggeschiedenis zal dit weergeven in plaats van de antwoordtitel, nadat de speler deze heeft gekozen","L'historique de la boîte de dialogue affichera ceci à la place du titre de la réponse, une fois que le joueur aura choisi celui-ci.","Der Dialogverlauf zeigt dies anstelle des Antworttitels an, nachdem der Spieler diesen ausgewählt hat",玩家选择此选项后，对话历史记录将显示此选项而不是响应标题,Dialoghistoriken kommer att visa detta istället för svarstiteln efter att spelaren har valt denna,"В истории диалогов это будет отображаться вместо заголовка ответа после того, как игрок выберет этот вариант.",プレイヤーがこれを選択すると、ダイアログ履歴には応答タイトルの代わりにこれが表示されます。,플레이어가 이것을 선택하면 대화 기록에 응답 제목 대신 이것이 표시됩니다.
RESPONSE_TITLE,Response Title,Título de la respuesta,Svarets titel,Titel van antwoord,Titre de la réponse,Antworttitel,回复标题,Svarsrubrik,Название ответа,回答のタイトル,응답 제목
PREFERENCES,Preferences,Preferencias,Præferencer,Voorkeuren,Préférences,Präferenzen,偏好设置,Inställningar,Предпочтения,設定,환경설정
KEYBINDS,Key Binds,Enlaces de teclas,Nøglebinder,Sleutelbinders,Liaisons de touches,Schlüsselbindungen,按键绑定,Nyckelbinder,Ключевые привязки,キーバインド,키 바인딩
